dataset,condition,validation_fold,alpha,selected_epoch,epoch0_selected,E_gate,E_alpha,improvement,mean_g,std_g,mean_abs_g_minus_alpha
m5,P0L0,1,0.05,400,False,1.0542530900570843,1.0617533857093002,0.0070640656796261015,0.3247942597055857,0.1807199440653793,0.28066461518928265
m5,P0L1,1,0.05,180,False,1.0508033990915453,1.0617533857093002,0.010313116741737375,0.15043192747994552,0.16698602579083835,0.11997314808206141
m5,P1L0,1,0.05,0,True,1.0617533858326207,1.0617533857093002,-1.1614793662137435e-10,0.05000000074505806,0.0,7.450580569168253e-10
m5,P1L1,1,0.05,220,False,1.0483891191566497,1.0617533857093002,0.012586978042667228,0.22769551611153452,0.2794626017139473,0.21005403995037097
m5,P0L0,2,0.0,400,False,1.0099142228016635,1.0168535550877267,0.006824318262293397,0.3227755550853706,0.1814851657324039,0.3227755550853706
m5,P0L1,2,0.0,220,False,1.0072441789420166,1.0168535550877267,0.009450108226135952,0.16765525138822024,0.19457584020067129,0.16765525138822024
m5,P1L0,2,0.0,160,False,1.0103203496027588,1.0168535550877267,0.00642492269637017,0.33193480065150655,0.19758553156928074,0.33193480065150655
m5,P1L1,2,0.0,60,False,1.0090090638461593,1.0168535550877267,0.007714474913637511,0.08703259886016616,0.19403659537455412,0.08703259886016616
favorita,P0L0,1,0.15000000000000002,300,False,4.21656832047438,4.244828487548101,0.006657552161793995,0.3645625546097856,0.17275518033242776,0.23449891444178747
favorita,P0L1,1,0.15000000000000002,200,False,4.199671596174167,4.244828487548101,0.010638095627749814,0.23093914889127873,0.1533432165224668,0.12753347359103437
favorita,P1L0,1,0.15000000000000002,40,False,4.2252400016762275,4.244828487548101,0.004614670752737015,0.37239861549602615,0.10704814173404772,0.2223986154960262
favorita,P1L1,1,0.15000000000000002,220,False,4.2094061402212395,4.244828487548101,0.008344824162099841,0.3286071572516969,0.2558858804153708,0.22005177905017026
favorita,P0L0,2,0.15000000000000002,400,False,1.9171966127583338,2.0012004060473267,0.041976702100972076,0.37325123298295393,0.18478431331071868,0.2401757547263167
favorita,P0L1,2,0.15000000000000002,400,False,1.916977912576186,2.0012004060473267,0.042085986599159644,0.22589483558546758,0.2470121125805252,0.17541771984850774
favorita,P1L0,2,0.15000000000000002,400,False,1.9353733460489821,2.0012004060473267,0.03289378704872591,0.37081689996851813,0.15870757291572085,0.22558209323055217
favorita,P1L1,2,0.15000000000000002,240,False,1.9187259840950739,2.0012004060473267,0.04121247512394438,0.3116055127428263,0.27799762031978914,0.22975244960556873
freshretailnet,P0L0,1,0.15000000000000002,120,False,0.43105004869179386,0.4130557603661663,-0.04356382370669748,0.46036586995763834,0.14614055230384512,0.3156014711299135
freshretailnet,P0L1,1,0.15000000000000002,20,False,0.4151185018100462,0.4130557603661663,-0.004993857105518465,0.24576612854070415,0.10803700114208342,0.11057456709248614
freshretailnet,P1L0,1,0.15000000000000002,0,True,0.4130557610255777,0.4130557603661663,-1.5964221350291336e-09,0.15000000596046448,0.0,5.960464455334602e-09
freshretailnet,P1L1,1,0.15000000000000002,0,True,0.4130557610255777,0.4130557603661663,-1.5964221350291336e-09,0.15000000596046448,0.0,5.960464455334602e-09
freshretailnet,P0L0,2,0.05,200,False,0.1756660506045168,0.1856849480328815,0.05395643284231383,0.4086006281491123,0.15377913774976484,0.3587524867773075
freshretailnet,P0L1,2,0.05,20,False,0.18105177165747605,0.1856849480328815,0.024951814481941708,0.2261878297086634,0.07834064330122704,0.1765012045962053
freshretailnet,P1L0,2,0.05,380,False,0.1775072668481211,0.1856849480328815,0.04404062510932374,0.4113324093532058,0.11215359991482728,0.3613324093532059
freshretailnet,P1L1,2,0.05,60,False,0.1806136573069093,0.1856849480328815,0.027311264481567833,0.347182178146719,0.22080511546989884,0.2989608935640828
uci,P0L0,1,0.4,240,False,44.82640480136636,1203.9418245754323,0.9627669677335329,0.6553121186161065,0.17428726448698362,0.2891203739889178
uci,P0L1,1,0.4,80,False,45.097149409564466,1203.9418245754323,0.962542085930549,0.5599738811239707,0.22237416650433403,0.21764794761901923
uci,P1L0,1,0.4,140,False,44.81080348658422,1203.9418245754323,0.9627799262623119,0.6236149595584604,0.1529502688499156,0.2481682740538957
uci,P1L1,1,0.4,120,False,45.101503183865965,1203.9418245754323,0.9625384696642041,0.5676002337470833,0.2201155089556418,0.2228850499899948
uci,P0L0,2,0.9500000000000001,400,False,50.5495012683582,60.632489684383344,0.16629679019468246,0.5273340286801637,0.16597314476654304,0.42321392618806825
uci,P0L1,2,0.9500000000000001,400,False,50.47897529670234,60.632489684383344,0.1674599614915066,0.5762162126212979,0.24011914476917576,0.38019361935674906
uci,P1L0,2,0.9500000000000001,400,False,50.52522391646862,60.632489684383344,0.16669719189377075,0.5296351641341326,0.12828783282469733,0.4203648358658676
uci,P1L1,2,0.9500000000000001,140,False,50.598206973442956,60.632489684383344,0.16549349636099214,0.30495389282145885,0.2552049533049536,0.6459572305694932
