dataset,validation_fold,alpha_train,alpha_safe,anchor_logit,n_train_rows,n_validation_rows,validation_alpha_loss
m5,1,0.05,0.05,-2.9444389791664403,3578,3598,1.0617533857093002
m5,2,0.0,0.0001,-9.21024036697585,7176,3600,1.0168535550877267
favorita,1,0.15000000000000002,0.15000000000000002,-1.7346010553881062,3600,3600,4.244828487548101
favorita,2,0.15000000000000002,0.15000000000000002,-1.7346010553881062,7200,3600,2.0012004060473267
freshretailnet,1,0.15000000000000002,0.15000000000000002,-1.7346010553881062,20705,22340,0.4130557603661663
freshretailnet,2,0.05,0.05,-2.9444389791664403,43045,22554,0.1856849480328815
uci,1,0.4,0.4,-0.4054651081081643,6140,6390,1203.9418245754323
uci,2,0.9500000000000001,0.9500000000000001,2.944438979166442,12530,6474,60.632489684383344
