series_id,group,rmse_point,rmse_hurdle,mae_point,mae_hurdle,delta_raw,delta_relative
FOODS_1_015_CA_2_evaluation,candidate,2.0861655826638965,2.12785517360449,1.5723407758133752,1.5413745804911567,-0.04168959094059366,-0.019983836032496895
FOODS_1_015_WI_2_evaluation,candidate,0.6318467902348242,0.5932533528360382,0.5639687247929119,0.48516323293248814,0.03859343739878596,0.06108037263977049
FOODS_1_027_TX_1_evaluation,candidate,1.7043839129795118,1.6559568979535835,1.3526169604488782,1.2615445000784737,0.04842701502592828,0.02841320823151328
FOODS_1_027_WI_2_evaluation,candidate,3.4396256748678553,3.4227751239550317,2.6554555041449412,2.6168629981222606,0.016850550912823614,0.004898949044352329
FOODS_1_028_CA_1_evaluation,candidate,1.421431697309173,1.4834086389764007,0.8614044741150879,0.8271428979046288,-0.06197694166722778,-0.04360177262442692
FOODS_1_028_TX_3_evaluation,candidate,1.6525869047168453,1.7245902934221882,1.0514460325773274,1.0021948535882292,-0.07200338870534284,-0.043570107266268046
FOODS_1_028_WI_1_evaluation,candidate,2.3471692069226497,2.4102099654921374,1.8729474686440968,1.9441809469745273,-0.06304075856948765,-0.02685820791426442
FOODS_1_032_CA_1_evaluation,candidate,3.9298580289858087,3.56192899461646,3.1971746796653386,2.4174571959745315,0.3679290343693489,0.09362400159384422
FOODS_1_032_CA_2_evaluation,candidate,4.711826483801252,4.7845161243967365,3.8221203826722645,3.7792126621518816,-0.07268964059548466,-0.015427062275188561
FOODS_1_032_CA_3_evaluation,candidate,6.644106408415271,6.8994139353521,5.2536569975671314,5.373594610464005,-0.25530752693682857,-0.03842616467031021
FOODS_1_032_TX_1_evaluation,candidate,4.43974026274255,4.543364262441393,3.068854266688937,3.1376428717658635,-0.10362399969884262,-0.023340104052580593
FOODS_1_032_TX_2_evaluation,candidate,4.171023337183979,4.015685552632448,3.3967848136311485,2.9055582540375844,0.15533778455153158,0.03724212788902931
FOODS_1_032_TX_3_evaluation,candidate,5.099008972280871,5.175996196253651,4.00755234559377,3.686563948790232,-0.0769872239727798,-0.015098468033944669
FOODS_1_032_WI_1_evaluation,candidate,8.363906134005239,8.572757446492906,6.650574769292559,6.902018149693807,-0.20885131248766697,-0.024970547151233268
FOODS_1_032_WI_2_evaluation,candidate,8.409233658998135,9.02200733399362,6.357995277359372,6.804109130586896,-0.612773674995486,-0.07286914597025135
FOODS_1_037_CA_4_evaluation,candidate,0.7396656364079045,0.710199285578718,0.6266616597062066,0.5396476604399227,0.029466350829186472,0.039837393247422165
FOODS_1_044_CA_2_evaluation,candidate,0.7126455686923208,0.6871372016719292,0.5944045778208723,0.48119635312330156,0.02550836702039161,0.035793903927864947
FOODS_1_044_WI_1_evaluation,candidate,2.2131374353002498,2.1574004985526876,1.5855311893281483,1.4597515208380563,0.055736936747562194,0.02518457998068273
FOODS_1_044_WI_3_evaluation,candidate,1.8046849281666286,1.7885000242886746,1.386058428457805,1.3466283522901081,0.016184903877954016,0.008968271206429472
FOODS_1_055_CA_1_evaluation,candidate,4.177095332085398,4.259755847380033,2.3922763878390905,2.1214216273455393,-0.08266051529463514,-0.019788994198838936
FOODS_1_055_TX_2_evaluation,candidate,2.554283593482858,2.3419321461578604,2.0285386542479196,1.6530866484556879,0.21235144732499744,0.08313542312482561
FOODS_1_055_WI_3_evaluation,candidate,5.164699555733501,5.3264622108040545,3.9205493219196796,3.9854761748796417,-0.16176265507055376,-0.03132082579536999
FOODS_1_088_WI_1_evaluation,candidate,0.9248614917393846,0.9179559840694772,0.728972373618966,0.7263086299811091,0.006905507669907385,0.007466531725653551
FOODS_1_096_TX_1_evaluation,candidate,4.146271903350734,4.319803331289112,3.4694707571041015,3.652930811757133,-0.17353142793837772,-0.04185239945266046
FOODS_1_103_CA_1_evaluation,candidate,1.4538799096521278,1.4662539207817342,1.1370578237942286,1.0723506460587184,-0.012374011129606455,-0.008511026975100856
FOODS_1_113_CA_1_evaluation,candidate,2.899404588764653,2.9405261731864503,2.0604559378254983,1.8757107108831406,-0.04112158442179714,-0.014182768621235362
FOODS_1_113_CA_3_evaluation,candidate,4.381492956608434,4.503149601772923,3.0333782079673948,3.11845454005968,-0.12165664516448871,-0.027766025500736858
FOODS_1_113_TX_1_evaluation,candidate,1.9186597386809903,2.0184207395515696,1.5064435370621228,1.4953474757217227,-0.09976100087057937,-0.05199514997857905
FOODS_1_113_TX_3_evaluation,candidate,3.1345510526105995,3.2218462440527027,2.3014176147324696,2.3879390195721673,-0.08729519144210318,-0.027849344284694197
FOODS_1_113_WI_1_evaluation,candidate,4.56228247662812,4.796612714166711,2.993742105151926,3.200705411888304,-0.2343302375385914,-0.051362500840101334
FOODS_1_113_WI_2_evaluation,candidate,9.6041017960863,9.62171180071892,7.7486679667518255,7.652455863498506,-0.01761000463261908,-0.0018335920429118325
FOODS_1_113_WI_3_evaluation,candidate,7.866029089428372,7.922000208851976,5.972124683005469,6.178180958543505,-0.05597111942360389,-0.007115549508814661
FOODS_1_133_CA_2_evaluation,candidate,1.68347283227073,1.6959962007356888,0.8654990137687751,0.8189719418684641,-0.012523368464958828,-0.007439008355167127
FOODS_1_133_TX_2_evaluation,candidate,0.9348949684876214,0.8807784417376134,0.7207100355908984,0.6090400515212899,0.054116526750008,0.05788514065655123
FOODS_1_133_WI_1_evaluation,candidate,1.788534309970454,1.8196652771932336,1.2274958661624364,1.2314607621658415,-0.031130967222779526,-0.01740585408355616
FOODS_1_137_CA_2_evaluation,candidate,4.414208356718413,4.561263395606848,3.718639376617613,3.6414847558452967,-0.14705503888843463,-0.033314023037588895
FOODS_1_162_WI_1_evaluation,candidate,2.1276384128825523,2.2577905345473064,1.642002053204037,1.7185082350458418,-0.1301521216647541,-0.06117210559684449
FOODS_1_162_WI_2_evaluation,candidate,3.278243732380322,3.2707350970973668,2.579182017417181,2.561463619981493,0.0075086352829552006,0.0022904444867200904
FOODS_1_169_CA_2_evaluation,candidate,1.115440365524877,1.1470383121217234,0.9100810587406158,0.9393177089237031,-0.03159794659684634,-0.028327777596588714
FOODS_1_169_WI_3_evaluation,candidate,0.7629081268359258,0.7068781553467242,0.6190821613805989,0.5725755597509089,0.056029971489201635,0.07344261978382578
FOODS_1_173_WI_1_evaluation,candidate,2.9036344995490273,2.8319326703980168,2.1070071217559634,2.0438144164425984,0.07170182915101053,0.024693820507418123
FOODS_1_176_CA_1_evaluation,candidate,0.6024580783115656,0.5447782472572044,0.5334580762400514,0.41971128221069065,0.05767983105436125,0.09574082103108875
FOODS_1_176_CA_2_evaluation,candidate,0.7820204523419642,0.6877993289067353,0.6642754684601512,0.5267674467038541,0.09422112343522882,0.1204842189907682
FOODS_1_180_CA_1_evaluation,candidate,1.9146985120560744,1.9097449001714493,1.2191553821321577,1.204443586014566,0.004953611884625175,0.002587149806319013
FOODS_1_180_CA_2_evaluation,candidate,2.4587816092497556,2.4408044603735615,1.878479310444423,1.8406845920142674,0.01797714887619417,0.007311405294624565
FOODS_1_196_TX_3_evaluation,candidate,1.042405898681542,0.9466908125088128,0.863649630608658,0.7237059245152133,0.09571508617272928,0.0918213205564088
FOODS_1_204_CA_1_evaluation,candidate,2.9736893967312588,3.0434782382622885,2.393025076105481,2.4740802815982272,-0.06978884153102971,-0.02346877303586012
FOODS_1_204_CA_4_evaluation,candidate,3.5569569065694857,3.536235590643961,2.599865050542922,2.6609242657820382,0.02072131592552484,0.0058255740707046
FOODS_1_204_WI_1_evaluation,candidate,13.375285721897086,13.843869041195152,9.206162969271341,9.802914767038255,-0.46858331929806596,-0.035033518463903464
FOODS_1_204_WI_2_evaluation,candidate,13.449566817869488,14.500353112946575,11.350685812178112,11.881074865659079,-1.0507862950770868,-0.0781278913519342
FOODS_1_204_WI_3_evaluation,candidate,8.240686895672683,8.65685974036051,5.8795613412346155,5.97664414417176,-0.4161728446878268,-0.05050220326977425
FOODS_1_206_CA_2_evaluation,candidate,1.212530738693072,1.3000893666139408,1.007506618187541,0.9888074848623503,-0.08755862792086888,-0.07221147070897689
FOODS_1_206_WI_2_evaluation,candidate,1.3138019996486336,1.3099137820977427,1.0666448420711927,1.0197271630167961,0.003888217550890971,0.002959515628634182
FOODS_1_217_CA_1_evaluation,candidate,2.2513990078792494,2.2254172923225024,1.8295732353414809,1.7732538041614352,0.025981715556746998,0.011540253622666823
FOODS_1_217_CA_2_evaluation,candidate,5.50901387720477,5.684666763934311,4.238579957258134,4.327869137128194,-0.1756528867295417,-0.03188463319294933
FOODS_1_217_TX_2_evaluation,candidate,2.233358545850085,2.0112589737342557,1.845024707771483,1.6029373960835593,0.22209957211582942,0.09944644693460605
FOODS_1_217_WI_1_evaluation,candidate,1.7746685595616052,1.7792396977094576,1.31799501038733,1.2951999029942922,-0.004571138147852372,-0.00257577006321765
FOODS_1_217_WI_2_evaluation,candidate,1.5055315704883032,1.5074268753934343,1.231537720986775,1.240522066752116,-0.0018953049051311233,-0.0012588941622236464
FOODS_1_217_WI_3_evaluation,candidate,2.562586121626416,2.560027917171374,1.899609842470714,1.823660815045947,0.00255820445504229,0.0009982901387987908
FOODS_2_003_CA_1_evaluation,candidate,0.8900819239485324,0.9318625966080789,0.7250877984222912,0.75295094240989,-0.04178067265954655,-0.04694025520055663
FOODS_2_003_CA_4_evaluation,candidate,0.6945203704780326,0.6802776615409801,0.6004987800759929,0.5073339754626864,0.014242708937052484,0.020507258739220775
FOODS_2_003_TX_1_evaluation,candidate,1.3984214973804723,1.434798004206875,0.9806778203873407,0.9826869311786833,-0.03637650682640281,-0.026012548358662537
FOODS_2_013_WI_1_evaluation,candidate,3.5637998442028516,3.4290272604120635,2.8070250068392073,2.755037594409216,0.13477258379078805,0.03781710244193972
FOODS_2_013_WI_2_evaluation,candidate,21.439942179861397,18.31189232907138,17.003124577658518,14.148708014261155,3.128049850790017,0.14589824098164797
FOODS_2_013_WI_3_evaluation,candidate,3.994158672402246,3.8865977607516875,3.1287165823436918,3.001050795827593,0.10756091165055848,0.026929553999382568
FOODS_2_018_WI_2_evaluation,candidate,2.6429640015817033,2.6635841978883623,1.9736101513817197,1.978852044968378,-0.02062019630665901,-0.007801920985045081
FOODS_2_021_WI_1_evaluation,candidate,5.2547524232027145,5.448017468828156,4.08375981343644,4.220063896761054,-0.19326504562544145,-0.03677909634183079
FOODS_2_021_WI_2_evaluation,candidate,12.310898548721118,13.633845422529637,8.513084716740108,9.622387931460427,-1.3229468738085188,-0.10746143903086175
FOODS_2_021_WI_3_evaluation,candidate,5.885334352202794,6.444293320970865,4.645239808729717,4.9915753815855295,-0.5589589687680707,-0.09497488763044712
FOODS_2_022_WI_2_evaluation,candidate,4.770747374136973,4.669111919891426,3.364111928712754,3.3486000923883346,0.10163545424554687,0.021303885172484677
FOODS_2_022_WI_3_evaluation,candidate,1.4059759387462711,1.4458965301035442,1.063977091972317,0.9895564085316091,-0.039920591357273105,-0.028393509630663286
FOODS_2_025_CA_3_evaluation,candidate,2.6188865898054168,2.7391909359442446,1.9520004710980825,2.0539304472151256,-0.12030434613882779,-0.04593721110610078
FOODS_2_029_CA_1_evaluation,candidate,3.9880878119259626,4.089377264787811,2.908231264068967,2.963969838051569,-0.10128945286184843,-0.025397999652603646
FOODS_2_029_TX_1_evaluation,candidate,1.5858235579418323,1.5477091009680424,1.297053798323586,1.2273581467923664,0.0381144569737899,0.0240344878110254
FOODS_2_029_TX_3_evaluation,candidate,3.2576287093389893,3.3996844479730317,2.4767228762308755,2.570608769144331,-0.14205573863404242,-0.043607099307172784
FOODS_2_031_WI_3_evaluation,candidate,2.2316093743822085,2.380912352891994,1.7692617248921167,1.7547406256198883,-0.1493029785097857,-0.06690372438102804
FOODS_2_032_WI_3_evaluation,candidate,1.9973828906296602,1.8694732435197496,1.6627336279267357,1.4458814100140618,0.1279096471099106,0.06403862159327299
FOODS_2_056_TX_2_evaluation,candidate,2.157353477886276,2.2223408580869672,1.6710641242208935,1.5813934093429929,-0.06498738020069128,-0.030123658856482056
FOODS_2_056_WI_1_evaluation,candidate,3.7992961340833795,3.74521828172539,2.7035099551791237,2.7186979396002635,0.05407785235798945,0.014233650247175668
FOODS_2_056_WI_2_evaluation,candidate,7.905000282276075,7.548925840755524,5.474370905331203,5.457501672563099,0.35607444152055034,0.045044203517476206
FOODS_2_056_WI_3_evaluation,candidate,2.4527542013241357,2.862751807979738,1.864659948008401,2.1534306350208463,-0.40999760665560236,-0.16715804887186103
FOODS_2_060_WI_3_evaluation,candidate,0.7550742333474989,0.7052212925039979,0.6663691624999046,0.5972240712671053,0.049852940843501004,0.06602389360114448
FOODS_2_074_WI_1_evaluation,candidate,2.3168173483335583,2.369342976953281,1.897618049666995,1.9315813737256187,-0.05252562861972265,-0.022671458610020904
FOODS_2_080_WI_2_evaluation,candidate,4.639703659531952,4.3595541910661995,3.121316440048672,2.4342498112292517,0.28014946846575217,0.060380896932976394
FOODS_2_080_WI_3_evaluation,candidate,1.8171455000427355,1.6106289646220064,1.4086953131925493,1.005948057841687,0.206516535420729,0.11364887149425963
FOODS_2_103_WI_2_evaluation,candidate,2.952391947519534,2.8921845210896677,2.2604643532208035,2.120365259193239,0.060207426429866207,0.020392762038404066
