n_train,n_positive_train,zero_ratio_train,ADI_train,CV2_positive_train,rho_interval_train,rho_magnitude_train,occurrence_binary_acf1_train,previous_gap_next_size_corr_train,rho_interval_abs_train,series_id,segment_start,descriptor_variant,dataset,rmse_point,rmse_hurdle,mae_point,mae_hurdle,delta_rmse,hurdle_occurrence_brier,hurdle_mean_p_hat_on_zero,hurdle_mean_p_hat_on_positive,hurdle_positive_magnitude_rmse
1829,1091,0.4034991798797157,1.6764436296975251,0.7187967971393515,-0.004232946554056965,0.21214136336865597,0.6523159543522021,-0.010740760255336476,0.004232946554056965,FOODS_1_005_CA_2_evaluation,0,availability_aware,m5,4.446448616463324,4.433473606608389,3.489625470978873,3.454539276304699,0.012975009854935493,0.15325384426880562,0.9316622742584774,0.908739595753806,4.299145253169153
1829,739,0.5959540732640787,2.4749661705006765,0.5652129157789021,-0.011424218291301205,0.27061240313797547,0.3841674747022708,-0.011865694612457898,0.011424218291301205,FOODS_1_005_WI_2_evaluation,0,availability_aware,m5,1.6986084962486387,1.8053861442841947,1.36005038022995,1.4697687171754383,-0.106777648035556,0.17139121588942338,0.9777973214785258,0.9790920295577118,1.6413848260463013
1647,1195,0.27443837279902855,1.3782426778242678,0.356467713218603,-0.0017709939965365189,0.02840027179799793,0.6749618941050505,0.008550164781498783,0.0017709939965365189,FOODS_1_012_CA_1_evaluation,182,availability_aware,m5,2.2802923677033298,2.2597010610107677,1.8512067056837536,1.733958125114441,0.02059130669256204,0.09874089919683718,0.832497258981069,0.8397984528541564,2.108166470106418
1738,1493,0.14096662830840045,1.1640991292699263,0.32170984946213627,-0.005628026548592231,0.10462524718951487,0.7167824442177178,-0.06681348107386778,0.005628026548592231,FOODS_1_012_TX_3_evaluation,91,availability_aware,m5,3.353976660223081,3.6258091805492025,2.4346600089754378,2.6137383778889975,-0.2718325203261216,0.005562374772537525,0.0,0.9300754318634669,3.4519016873673865
1423,434,0.6950105411103303,3.2788018433179724,1.0251761056948308,-0.012099241321016418,0.07039998336273257,0.26946994304555577,-0.015466814911776637,0.012099241321016418,FOODS_1_017_CA_1_evaluation,406,availability_aware,m5,1.141473012782619,1.1590891652948618,0.8687948910962968,0.863418908346267,-0.01761615251224291,0.24582772389583,0.6996717415750027,0.6967244824537864,1.1337651141776213
1423,338,0.7624736472241743,4.210059171597633,0.6718427952380247,0.009888576569750304,0.024415453151506263,0.1966145549029445,-0.019838603999954206,0.009888576569750304,FOODS_1_017_TX_1_evaluation,406,availability_aware,m5,0.8847636090602569,0.9295786715848066,0.630180739753303,0.6080565449027788,-0.0448150625245497,0.2274555295766269,0.3821384856211288,0.386282568531377,1.2177837038395158
1829,1663,0.09075997813012575,1.0998196031268792,0.6640438885521283,0.02505540711393071,0.4178414319173227,0.4898148550882173,0.02698607218229119,0.02505540711393071,FOODS_1_018_CA_2_evaluation,0,availability_aware,m5,7.39054285187159,7.308032367268025,5.580770634469532,5.450479672068641,0.08251048460356536,0.01011178993752512,0.0,0.9097030631133488,7.003909302998412
1829,1693,0.07435757244395845,1.080330773774365,0.5227841130057698,0.14657698901169824,0.37024395581139646,0.30887567793074705,-0.10940939879021351,0.14657698901169824,FOODS_1_018_CA_4_evaluation,0,availability_aware,m5,4.835790678666317,4.9389363565606965,3.66442266532353,3.587905432496752,-0.10314567789437934,0.06229730192065804,0.8011965751647949,0.7885620419572039,4.712009689663016
1829,1407,0.23072717331875342,1.2999289267945984,0.7953269622094341,0.06349997180756804,0.25255951100308227,0.20689055570468218,-0.11236886211552673,0.06349997180756804,FOODS_1_018_TX_1_evaluation,0,availability_aware,m5,4.3451479828136454,4.611582180523054,2.9747252748126076,3.054017812013626,-0.26643419770940824,0.01475109136695762,0.0,0.9184294449431556,4.477291402610464
1829,1429,0.21869874248223073,1.2799160251924422,0.7335629472752055,0.15905618690823642,0.42095424210339033,0.3055392156862718,-0.13818175263569862,0.15905618690823642,FOODS_1_018_TX_3_evaluation,0,availability_aware,m5,5.755219047021202,5.601930436481644,4.420764582497733,4.267914204370408,0.15328861053955833,1.9459951669208496e-05,0.0,0.9966431104001545,5.589030447218837
