dataset,series_id,regime,rho_interval_abs_train,relative_gain,delta_rmse,rmse_point,rmse_hurdle,ADI_selection,CV2_selection,zero_ratio_train,n_positive_train,n_positive_test
m5,FOODS_1_061_CA_2_evaluation,smooth,0.005160968514691,0.03548732259600903,0.0876304561304093,2.469345380828037,2.3817149246976275,1.2467620995228357,0.4364856859596972,0.1979223619464188,1467,77
m5,FOODS_1_063_WI_2_evaluation,intermittent,0.004358605302284,0.015305244602397697,0.0180621914727121,1.180130859841502,1.1620686683687895,1.9091858037578289,0.42203315050670964,0.4762165117550574,958,63
m5,FOODS_1_068_WI_1_evaluation,lumpy,0.0107341520185218,0.2261925338236587,0.1013604262345665,0.4481157026764986,0.346755276441932,7.526748971193416,0.708909202410344,0.7065217391304348,243,10
m5,FOODS_1_070_CA_3_evaluation,lumpy,0.0938361618878889,0.019343669431530243,0.0239677046829343,1.239046436756558,1.2150787320736236,5.3952802359882,1.6894771684767076,0.6861111111111111,339,26
m5,FOODS_1_072_CA_3_evaluation,lumpy,0.1088599452407949,0.002959800216778886,0.0062296947321018,2.104768658636528,2.098538963904426,2.4716216216216216,0.5754101319613414,0.5776255707762558,740,55
m5,FOODS_1_075_CA_1_evaluation,lumpy,0.0080930069666372,-0.02328560382224829,-0.0331772142507844,1.424795101043725,1.4579723152945094,2.393979057591623,0.5806233066612472,0.5822854018589393,764,45
m5,FOODS_1_082_TX_2_evaluation,lumpy,0.0132654748562294,0.022944228268994303,0.0470630951923642,2.0511953873804045,2.00413229218804,1.954059829059829,0.6636029086057227,0.1161473087818696,936,63
m5,FOODS_1_082_WI_2_evaluation,intermittent,0.0250108156573099,-0.06354148901553955,-0.5639924632821511,8.87597177875738,9.439964242039531,1.866326530612245,0.4496592477599164,0.0745986779981114,980,84
m5,FOODS_1_085_CA_1_evaluation,smooth,0.0323508980847479,0.10029429603817396,0.5942652898245369,5.925215224586132,5.330949934761595,1.0200780814277748,0.4016304922004184,0.0196828868234007,1793,82
m5,FOODS_1_085_CA_2_evaluation,erratic,0.0012928679008891,-0.02072191004326879,-0.1340246446867947,6.467774660103336,6.601799304790131,1.0321670428893905,0.5191963586103497,0.0311645708037178,1772,84
m5,FOODS_1_085_CA_3_evaluation,erratic,0.039741139969507,-0.002959204268146478,-0.0141310538900132,4.775288425379402,4.789419479269415,1.0639906922629436,0.5871102048180282,0.0601421541826134,1719,82
m5,FOODS_1_085_TX_1_evaluation,erratic,0.0646347109571687,0.08037670335716508,0.254702877159874,3.1688644410814693,2.914161563921595,1.1488693467336684,0.5181150268256657,0.1295790049207217,1592,77
m5,FOODS_1_085_TX_2_evaluation,erratic,0.233714221752566,0.04880439187382998,0.1754492959098841,3.5949489210614254,3.4194996251515413,1.08096926713948,0.7219527533964756,0.074904319300164,1692,84
