dataset,rho_o1_o2,rho_o1_o3,rho_o2_o3,sign_all_same_pct
favorita,0.38260525384315386,0.3221184741279199,0.360385649650634,35.24514338575393
m5,0.1836717577022203,0.12328036950041463,0.08575784755078796,28.73704549446689
