dataset,rows,series,point_pct,neutral_pct,hurdle_pct,point_rows,hurdle_rows,series_consistent_pct
favorita,16215,5405,33.94387912426765,17.82300339192106,48.233117483811284,5504,7821,25.86493987049029
m5,17079,5693,33.75490368288541,24.656010305052988,41.58908601206159,5765,7103,18.074828737045497
MACRO,33294,11098,33.846939388478404,21.32816723734006,44.824893374181535,11269,14924,21.868805190124345
