dataset,region,rows,series,mean_G,point_pct,hurdle_pct
favorita,high_sparsity,8109,2703,12.19689,28.610186212849918,53.22481193735356
favorita,low_sparsity,8106,2702,4.9079733,39.27954601529731,43.23957562299531
m5,high_sparsity,8541,2847,7.255135,27.64313312258518,52.019669827889004
m5,low_sparsity,8538,2846,0.76444155,39.86882173811197,31.15483719840712
