dataset,n_rows,always_point,always_hurdle,global_choice,train_domain_global,test_static_best,series_oracle,origin_oracle,hr_vs_static,hr_series_vs_static,hr_vs_global
favorita,16215,2.4848852,2.4096882,hurdle,2.4096882,2.4096882,2.3623748,2.3329961,3.1826568,1.9634677,3.1826568
m5,17079,1.6493217,1.6407361,hurdle,1.6407361,1.6407361,1.6129117,1.5947236,2.8043828,1.6958487,2.8043828
MACRO,33294,2.0562618,2.0152347,per-dataset,2.0252123,2.0152347,1.9779185,1.9542804,3.0246766,1.8517051,3.5024433
