track,train,test,ablation,n_test,spearman,pred_sd,degenerate,selector_loss,global_loss,oracle_loss,rel_improve_pct,oracle_gap_capture_pct
T2_origin1_conditioned,favorita,m5,A4,11386,0.10220064739403178,0.09500174158272826,False,1.6288501,1.6283501,1.5846475,-0.030703701,-1.1440138
T2_origin1_conditioned,favorita,m5,A4_C0,11386,,1.3877787807814457e-17,True,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A4_C1,11386,0.010235489771460882,0.0024773358628039743,False,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A5,11386,0.14279553084956859,0.07099625174295385,False,1.6261886,1.6283501,1.5846475,0.1327419,4.945936
T2_origin1_conditioned,favorita,m5,A5_C0,11386,,1.3877787807814457e-17,True,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A5_C1,11386,0.017448419094677182,0.005131409715105757,False,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A6,11386,0.10077854436077006,0.09312469313258588,False,1.6284958,1.6283501,1.5846475,-0.008946095,-0.3333297
T2_origin1_conditioned,favorita,m5,A6_C0,11386,-0.15234099182448002,0.0017959686459004026,False,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A6_C1,11386,,1.3877787807814457e-17,True,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A7,11386,0.17695716114991936,0.08037664808610254,False,1.6271727,1.6283501,1.5846475,0.07230817,2.6941876
T2_origin1_conditioned,favorita,m5,A7_C0,11386,,1.3852168380756818e-17,True,1.6283501,1.6283501,1.5846475,0.0,0.0
T2_origin1_conditioned,favorita,m5,A7_C1,11386,,1.3877787807814457e-17,True,1.6283501,1.6283501,1.5846475,0.0,0.0
