series_id,alpha_loss,mlp,hgb,convex
0_102,0.8115841832710697,0.9995778325180381,0.9497428624075034,0.7399813761402906
0_132,0.32732456249551123,0.31857652048516055,0.3113994249004926,0.29604491299374347
0_154,0.18434363188194325,0.19148437604188512,0.1852202303114792,0.16253153919397914
0_156,0.4805148919430891,0.4310468382939772,0.43372898457596376,0.39482666621007506
0_184,0.5580023635138041,0.6991251967095435,0.7627500899295634,0.46410839269084825
0_192,0.16980811862855077,0.17661725168096604,0.1728581308983735,0.14169968091157242
0_200,0.43501095933943157,0.5202878229303676,0.423320980772472,0.3442802355822128
0_208,0.22463974530109698,0.22641413590709825,0.23493016862634836,0.19783875129285464
0_261,0.12194350591488945,0.11734490849498395,0.12930107152659914,0.08969892844394728
0_432,0.18743237242425714,0.1800313925095427,0.18331492030986285,0.16980133348505805
0_470,0.6787543455131299,0.7298203335834684,0.7549078294377567,0.6137619500399046
0_59,0.4310436026344157,0.3932993094097714,0.37440661837519307,0.34059742151321004
0_99,0.10805359565926032,0.11702763630190577,0.11228664304758701,0.09419378295703555
1001_155,0.10346533054379987,0.09960216456042804,0.09750791068453707,0.08973557000057987
1001_156,0.2749889963962156,0.31489520238877305,0.2710426264677107,0.2080365353697386
1001_244,0.23065581530796347,0.21660961571124485,0.22917382295469035,0.1930496040964711
1001_246,0.20746841809296931,0.20503972772318893,0.21167532833637387,0.19566560502019276
1001_261,0.10848010734572194,0.11400457683765747,0.09495156326977314,0.0803753677133798
1001_458,0.21541838736875193,0.22663146391277916,0.21981099335124307,0.19754117668617777
1001_503,0.8243145837302716,0.8680992206730429,0.873318124045764,0.5860229753974708
1005_181,0.4930645981255419,0.5091025757281593,0.5050793070176877,0.4684909709035069
1005_185,0.19150715449269423,0.18219608083571365,0.18501603639384878,0.1588896634881335
1005_193,0.3050162779283033,0.28640072157966945,0.2826456912470279,0.2622182140763381
1005_238,0.12686029378606953,0.1234671636821569,0.11810617510721404,0.11428379495672426
1006_181,0.34849816353435364,0.33938777077623405,0.33473322421810825,0.3264472495323052
1006_238,0.11095199625740032,0.10713515152529061,0.11024507698445722,0.0996009610655631
1009_200,0.4286859651837101,0.40105526993094265,0.43972196858606505,0.365061584401321
1009_246,0.21376261874242847,0.20601015459274605,0.20976435385314487,0.18209820856205206
1009_277,0.44565266910466256,0.4010442249875752,0.4011050712445619,0.37991221080242715
1009_99,0.24239952071274176,0.23690127874175115,0.23467026659947438,0.21383722783228104
100_132,0.45395381963920034,0.4704583120592311,0.4619650789399208,0.41951407931254775
100_184,0.3445738466110691,0.3768503274004584,0.39148961794098786,0.32307665726398144
100_200,0.4402651364144569,0.5448593742567427,0.5564502676317192,0.3703213123332626
100_247,0.16460927951644008,0.15752059070938787,0.15294789720598811,0.14981826828794562
100_277,0.48879906534512396,0.48402516395622086,0.48128863687153295,0.42804721164037013
100_415,0.7575128246563364,0.6358015422598372,0.6624970256890295,0.4789749059902553
100_470,0.8389396215362788,0.8533387382223357,0.8741568272200971,0.7512187997308163
100_501,0.10538819283961767,0.0911030323053651,0.08078452896028962,0.048342524297282946
100_59,0.664418713903872,0.623782255695452,0.6306886310172746,0.593123459837779
1011_238,0.30539491438239824,0.2870048741619201,0.2890516575437693,0.2708120535168557
1012_120,0.17390199107229376,0.16148108466931532,0.15914775886353227,0.15330846314912064
1012_14,0.11392114050600016,0.11039043733404605,0.10121978702376952,0.08700109525409161
