dataset,fold,n_origins,alpha,E_alpha,E_mlp,E_hgb,E_convex,gain_capacity,gain_static_hgb,gain_static_mlp,recovery_mlp,recovery_hgb,mean_g_mlp,mean_g_hgb,std_g_mlp,std_g_hgb,corr_mlp_gstar,corr_hgb_gstar,spearman_mlp_gstar,spearman_hgb_gstar,wrmse_mlp_u,wrmse_hgb_u,wrmse_mlp_gstar,wrmse_hgb_gstar,train_fit_gain
m5,1,3545,0.0,1.043070661254054,1.0352512832098966,1.0329429362487572,0.9605884420879626,0.0022297455686141232,0.009709529163748514,0.007496498880292845,0.09480077189014212,0.12278676674427086,0.15287602162787242,0.22025703001200442,0.23581160599942502,0.27257034379396405,0.3649980267748485,0.4163717014091864,0.3598166409679168,0.38299708865361126,0.36676111898949754,0.3638489496056153,0.22520727894657244,0.21690142805046972,0.03453199806894621
m5,2,3578,0.0,1.095980998453958,1.0885825482846974,1.090107637822134,1.015976434215407,-0.0014009865763875149,0.0053589985958782255,0.006750527773471576,0.09247535112122438,0.07341281947753978,0.14050071121595703,0.23150009386471687,0.2118528281045496,0.23970679878825227,0.33995534446923403,0.4110115201884329,0.29676215451242205,0.3626549311974149,0.44488131018758204,0.4468639665418731,0.24115877761788831,0.23358194961438566,0.03333644974624168
m5,3,3598,0.0,1.1311472195936414,1.1222370417676983,1.1193613588416216,1.0449098873814782,0.002562455897505497,0.010419387103522939,0.00787711596828571,0.10332158471718506,0.1366677336797009,0.13701505189198276,0.2043358227416323,0.2018466646819567,0.223329975719372,0.32929039835916557,0.40102912369977795,0.3536232626710854,0.37819606971935166,0.38672204396200854,0.38349509585871766,0.2191697361463012,0.20375567153898785,0.02640326864853161
m5,4,3600,0.0,1.0596797272438911,1.0500647668854013,1.0412805172936312,0.9723846703086926,0.008365435989081911,0.017362991361658104,0.009073458811463058,0.1101432394462758,0.2107703528267141,0.14581263772313807,0.20818813164292155,0.19476167423588153,0.22785236418356467,0.3519794305438863,0.5019048948715017,0.35263912862774527,0.47986771977702347,0.34071007095395994,0.3291870505879899,0.22240141771003114,0.2042243800322253,0.026508096601179372
favorita,1,3600,0.15000000000000002,1.8778231583060314,1.7997138642317538,1.8739361929163882,1.713924740166219,-0.04124118292344088,0.002069931544112796,0.04159566023498151,0.4765713724439182,0.023715698014409276,0.23526431034714937,0.3027409330357078,0.20924859738787147,0.26627579999902223,0.3550442543868546,0.31664210194895864,0.26468533665855726,0.24600883568871393,0.314412011937076,0.38616849247067825,0.19366750769389898,0.2933464059616079,0.012408654840792637
favorita,2,3600,0.1,1.2261981444227306,1.2712739172914747,1.2400618231556624,1.1289185256608152,0.02455182452127352,-0.011306230396767203,-0.036760594585604156,-0.4633629679312754,-0.14251370337770483,0.23851990830322292,0.2578164404091765,0.21437780812470789,0.23577690663268136,0.3881845103086791,0.3676967294963878,0.3161759650602737,0.31655902694781507,0.5687912523117735,0.527465713623439,0.3185521563403956,0.301289148556072,0.014269819817982502
favorita,3,3600,0.1,5.183124287207205,5.143127339567867,5.117177543689071,4.9990589532113985,0.005045528559861766,0.012723357547281062,0.0077167641412838614,0.21729755826944183,0.358278998475813,0.24174658618071818,0.27894177863704706,0.20063036555633765,0.21920691360624803,0.3608317971472826,0.393760623442998,0.2984328745524008,0.3501198248665196,0.8846957548538775,0.8682786044132247,0.26699559062099926,0.25273838724447767,0.014681593220641137
favorita,4,3600,0.1,2.2582626092716667,2.188962684072878,2.2362818859423856,2.0760050918739905,-0.021617180691935564,0.009733466444086515,0.03068727477232564,0.3802308194925094,0.12060256083330853,0.21995542385025768,0.3032712374711741,0.1922499086923012,0.2435480695562607,0.38693796653713836,0.4067796906903,0.3762137725410833,0.3690003582748109,0.45129949992468,0.49542730045354,0.2613824465121335,0.28271812537387486,0.011244013681203351
freshretailnet,1,20705,0.30000000000000004,0.6375197952681471,0.6257637447285239,0.640707946193637,0.5106158377948951,-0.023881539304576316,-0.005000865775703476,0.018440290994695203,0.09263738321242666,-0.025122549280324383,0.35622028002965667,0.47516385575205383,0.30422865334684723,0.34110545859716995,0.3426185682748091,0.4133940331194695,0.3495654864872075,0.4098713612143356,0.7762351399481843,0.8012108145208117,0.4013134204161391,0.39368269152626534,0.04294253400297284
freshretailnet,2,22340,0.2,0.4193260937496296,0.44793451149516017,0.4423677192209827,0.3553413734643183,0.012427692288312538,-0.05494918111418743,-0.06822474959693789,-0.4471132735747554,-0.36011137297481804,0.3295260183002532,0.5043170767865974,0.2786015188079355,0.3457066375897289,-0.10926153033086748,0.27959917028039993,-0.10730031267034966,0.2694647198342661,0.8002501109099813,0.7883925077434956,0.393868438576438,0.382384837580363,0.04438801546808241
