dataset,fold,n_origins,alpha,E_a,E_b,E_equal,E_alpha,E_gate,E_convex,improvement,oracle_recovery,mean_g,median_g,std_g,p10_g,p90_g,frac_g_below_0.1,frac_g_above_0.9,corr_g_gstar,corr_g_q
m5,1,3545,0.0,1.043070661254054,2.0613011463029025,1.2809552249330056,1.043070661254054,1.0352512832098966,0.9605884420879626,0.007496498880292845,0.09480077189014212,0.15287602162787242,0.03962725028395653,0.23581160599942502,1.0279863818141167e-05,0.4713130235671997,0.6304654442877292,0.029619181946403384,0.3649980267748485,0.35369200901389075
m5,2,3578,0.0,1.095980998453958,1.908754022237079,1.2867186901818692,1.095980998453958,1.0885825482846974,1.015976434215407,0.006750527773471576,0.09247535112122438,0.14050071121595703,0.03419564105570316,0.2118528281045496,0.0008766065933741633,0.44695942699909214,0.650642817216322,0.018166573504751257,0.33995534446923403,0.3111330659826622
m5,3,3598,0.0,1.1311472195936414,2.333035063615201,1.4428394898244346,1.1311472195936414,1.1222370417676983,1.0449098873814782,0.00787711596828571,0.10332158471718506,0.13701505189198276,0.03517831116914749,0.2018466646819567,0.000657797686289996,0.4408989578485492,0.650917176209005,0.008060033351862146,0.32929039835916557,0.357094055894146
m5,4,3600,0.0,1.0596797272438911,2.1012629809539796,1.295979238651671,1.0596797272438911,1.0500647668854013,0.9723846703086926,0.009073458811463058,0.1101432394462758,0.14581263772313807,0.06230061501264572,0.19476167423588153,0.0016289517749100931,0.4296101987361908,0.5975,0.006666666666666667,0.3519794305438863,0.3653977880512704
favorita,1,3600,0.15000000000000002,1.8852770247061765,3.0905574147265322,2.1188075630434153,1.8778231583060314,1.7997138642317538,1.713924740166219,0.04159566023498151,0.4765713724439182,0.23526431034714937,0.17214572429656982,0.20924859738787147,0.04956760033965111,0.504625457525253,0.2838888888888889,0.029722222222222223,0.3550442543868546,0.3476282270472978
favorita,2,3600,0.1,1.2335110890528374,1.7804428022588086,1.3347377346816458,1.2261981444227306,1.2712739172914747,1.1289185256608152,-0.036760594585604156,-0.4633629679312754,0.23851990830322292,0.17010954767465591,0.21437780812470789,0.04905206859111786,0.5040470361709595,0.2833333333333333,0.03138888888888889,0.3881845103086791,0.2978273484142811
favorita,3,3600,0.1,5.200919750117978,5.834492382972467,5.292281827111274,5.183124287207205,5.143127339567867,4.9990589532113985,0.0077167641412838614,0.21729755826944183,0.24174658618071818,0.18702557682991028,0.20063036555633765,0.05351160094141961,0.486656379699707,0.25194444444444447,0.023055555555555555,0.3608317971472826,0.3146013777932542
favorita,4,3600,0.1,2.285708689722143,3.0306439843825257,2.3750107539509036,2.2582626092716667,2.188962684072878,2.0760050918739905,0.03068727477232564,0.3802308194925094,0.21995542385025768,0.16709297895431519,0.1922499086923012,0.033180227503180504,0.47219614386558534,0.33361111111111114,0.009166666666666667,0.38693796653713836,0.376048443972128
freshretailnet,1,20705,0.30000000000000004,0.6330349330043081,0.9135055735837243,0.6784412891154615,0.6375197952681471,0.6257637447285239,0.5106158377948951,0.018440290994695203,0.09263738321242666,0.35622028002965667,0.2879186272621155,0.30422865334684723,0.006751984544098381,0.8317200660705567,0.2889157208403767,0.05728085003622314,0.3426185682748091,0.32729807510169967
freshretailnet,2,22340,0.2,0.4031102584865573,0.7206027220227307,0.4879773379981403,0.4193260937496296,0.44793451149516017,0.3553413734643183,-0.06822474959693789,-0.4471132735747554,0.3295260183002532,0.28866979479789734,0.2786015188079355,0.0031319904839619997,0.7411399304866793,0.2983885407341092,0.03357206803939123,-0.10926153033086748,-0.06052696110862409
freshretailnet,3,22554,0.1,0.18815550157960376,0.2567921387471922,0.19140863382075757,0.18383569821301204,0.17400568930625615,0.14805122796751832,0.053471708717671235,0.2747004172290009,0.3558214756270884,0.29676590859889984,0.27440387898653057,0.03788219541311264,0.7668638348579407,0.24851467588897758,0.01378912831426798,0.43208623748089087,0.4651819823181228
uci,1,6140,0.75,187.75936936355373,202.4271590229506,178.3979298675936,186.23871086385748,173.40069426647952,162.77375105370973,0.06893312640443848,0.5471143654729799,0.4634643601472381,0.44258472323417664,0.23077774768768203,0.17414682209491728,0.8034831464290619,0.05684039087947883,0.0501628664495114,0.3142696492954267,0.34687762048758836
uci,2,6390,0.65,3249.225766876342,86.73182973344882,855.1804988843201,453.9582552607378,45.26193556127467,43.75307376342815,0.9002949389360091,0.9963216900568176,0.5927495386806322,0.596331924200058,0.2683516426499052,0.2239808440208435,0.9559529304504395,0.04178403755868545,0.16870109546165885,0.37666265901539936,0.34061655537129437
uci,3,6474,0.9500000000000001,51.82528423861704,61.92047329518132,52.750646356532,60.632489684383344,50.623578825047616,49.11366718321067,0.16507504328844422,0.8689178827364319,0.5922637308822516,0.5856823325157166,0.23783869871174537,0.2848727941513062,0.93297119140625,0.014519616929255484,0.12974976830398516,0.3223945170479148,0.2605856592148177
