dataset,fold,alpha,E_alpha
m5,1,0.0,1.043070661254054
m5,2,0.0,1.095980998453958
m5,3,0.0,1.1311472195936414
m5,4,0.0,1.0596797272438911
favorita,1,0.15000000000000002,1.8778231583060314
favorita,2,0.1,1.2261981444227306
favorita,3,0.1,5.183124287207205
favorita,4,0.1,2.2582626092716667
freshretailnet,1,0.30000000000000004,0.6375197952681471
freshretailnet,2,0.2,0.4193260937496296
freshretailnet,3,0.1,0.18383569821301204
uci,1,0.75,186.23871086385748
uci,2,0.65,453.9582552607378
uci,3,0.9500000000000001,60.632489684383344
