policy,macro_rel_improve,worst_rel_improve,macro_capture,mean_switch
ORACLE origin convex - diagnostic,3.1656608374210986,2.9487393906903168,105.71447212900914,
ORACLE origin (hard) - diagnostic,2.9935241229951117,2.80438740815645,100.0,
D3 exp-weighted average eta=8.0,0.40473513019475094,0.35740095078433415,13.674850375074467,
D3 exp-weighted average eta=2.0,0.35322001138065684,0.23177470422740365,12.104115213888669,
P4 train-domain global convex w=0.85,0.34291823496320734,0.34291823496320734,12.22791950804811,
D2 rolling convex weight K=2,0.2955899393965943,0.25363092054970493,10.00280331283421,0.7630185275488846
D2 rolling convex weight K=3,0.2955899393965943,0.25363092054970493,10.00280331283421,0.7630185275488846
D2 rolling convex weight K=1,0.26136520581245193,0.2606498719084967,8.764498257784279,0.8451293626575831
D3 exp-weighted average eta=0.5,0.1784290659481387,-0.10870339268659913,6.592848293153101,
P3 50:50 forecast average,0.04322072136565591,-0.47483706629762645,2.547400273372415,
D1 discounted-loss selector gamma=0.50,0.030046052437018064,-0.0023020509739512906,0.9391762552044318,0.3863434296918835
D1 discounted-loss selector gamma=0.90,0.029958456011840467,0.013275434220700717,1.0401392352507401,0.3485949442431615
D1 discounted-loss selector gamma=1.00,0.028300737327944386,0.010813426047776912,0.9862448141126676,0.3413376668980017
D1 discounted-loss selector gamma=0.00,0.003408021965959799,-0.050054019756230035,0.0010124015212920057,0.45513870922191635
P1 always Hurdle,0.0,0.0,0.0,
P2 train-domain global choice,0.0,0.0,0.0,
P4 train-domain global convex w=0.60,-0.2030739636608453,-0.2030739636608453,-6.380634758401221,
P0 always Point,-1.8219461793241185,-3.1206106323360396,-58.35488105192483,
