train,test,origin,policy,family,cumulative_regret
favorita,m5,1885,D3 expw eta=2.0 norm=per_series_scale,convex,0.08344364166259766
favorita,m5,1913,D3 expw eta=2.0 norm=per_series_scale,convex,0.11952388286590576
favorita,m5,1857,D3 expw eta=8.0 norm=per_series_scale,convex,0.04660975933074951
favorita,m5,1885,D3 expw eta=8.0 norm=per_series_scale,convex,0.08250534534454346
favorita,m5,1913,D3 expw eta=8.0 norm=per_series_scale,convex,0.11766421794891357
favorita,m5,1857,D3 expw eta=2.0 norm=per_origin_scale,convex,0.04660975933074951
favorita,m5,1885,D3 expw eta=2.0 norm=per_origin_scale,convex,0.08601033687591553
favorita,m5,1913,D3 expw eta=2.0 norm=per_origin_scale,convex,0.12197554111480713
favorita,m5,1857,D3 expw eta=8.0 norm=per_origin_scale,convex,0.04660975933074951
favorita,m5,1885,D3 expw eta=8.0 norm=per_origin_scale,convex,0.08585286140441895
favorita,m5,1913,D3 expw eta=8.0 norm=per_origin_scale,convex,0.12214744091033936
favorita,m5,1857,ORACLE hard origin,hard,0.0
favorita,m5,1885,ORACLE hard origin,hard,0.0
favorita,m5,1913,ORACLE hard origin,hard,0.0
favorita,m5,1857,ORACLE convex origin,convex,0.0
favorita,m5,1885,ORACLE convex origin,convex,0.0
favorita,m5,1913,ORACLE convex origin,convex,0.0
