dataset,comparison,mean,ci_low,ci_high,excludes_zero
m5,50:50 vs global,0.5612968427044124,0.4317804656635501,0.6939396244369472,True
favorita,50:50 vs global,-0.4759675766347553,-0.7103296067142754,-0.257154671043019,True
