dataset,global_loss,series_oracle,origin_oracle,H_total_pct,H_static_pct,H_dynamic_pct,R_static,R_dynamic
favorita,2.4096880881342666,2.3623747393631325,2.332995889039272,3.1826608378337737,1.9634636119136535,1.2191972259201203,0.616925180519723,0.383074819480277
m5,1.640736165718819,1.612911584255455,1.5947235672863316,2.8043874081564497,1.6958595808835488,1.1085278272729011,0.6047165865711736,0.39528341342882645
MACRO,2.025212126926543,1.9779186443885417,1.9542804152836863,3.50243368088568,2.3352359937609903,1.1671976871246903,0.6667466700384362,0.33325332996156376
