dataset,L_50_50,w_global_heldout,L_global_convex_heldout,L_series_convex_oracle,L_origin_convex_oracle
favorita,2.4211301803588867,0.85,2.407510995864868,2.355938,2.3281784
m5,1.631527066230774,0.6,1.6311854124069214,1.6096307,1.5923551
