train,test,origin,policy,family,loss,global_loss,family_oracle,rel_improve_pct,capture_pct
favorita,m5,1857,P1 always Hurdle,hard,1.6655083,1.6655083,1.6148756,0.0,0.0
favorita,m5,1885,P1 always Hurdle,hard,1.6042769,1.6042769,1.5632385,0.0,0.0
favorita,m5,1913,P1 always Hurdle,hard,1.6524235,1.6524235,1.6060568,0.0,0.0
favorita,m5,1857,P2 train-domain global choice,hard,1.6655083,1.6655083,1.6148756,0.0,0.0
favorita,m5,1885,P2 train-domain global choice,hard,1.6042769,1.6042769,1.5632385,0.0,0.0
favorita,m5,1913,P2 train-domain global choice,hard,1.6524235,1.6524235,1.6060568,0.0,0.0
favorita,m5,1857,P3 50:50 average,convex,1.654612,1.6655083,1.6129396,0.65423423,20.72779
favorita,m5,1885,P3 50:50 average,convex,1.5993909,1.6042769,1.5602318,0.30456284,11.093248
favorita,m5,1913,P3 50:50 average,convex,1.6405784,1.6524235,1.603894,0.7168327,24.408062
favorita,m5,1857,P4 train-domain convex w=0.85,convex,1.6595494,1.6655083,1.6129396,0.35778356,11.335486
favorita,m5,1885,P4 train-domain convex w=0.85,convex,1.5997763,1.6042769,1.5602318,0.28053933,10.218227
favorita,m5,1913,P4 train-domain convex w=0.85,convex,1.6460037,1.6524235,1.603894,0.3885068,13.228607
favorita,m5,1857,D1 discounted selector g=0.5,hard,1.6655083,1.6655083,1.6148756,0.0,0.0
favorita,m5,1885,D1 discounted selector g=0.5,hard,1.6067309,1.6042769,1.5632385,-0.15296876,-5.9798694
favorita,m5,1913,D1 discounted selector g=0.5,hard,1.6500826,1.6524235,1.6060568,0.14166543,5.048695
favorita,m5,1857,D1 discounted selector g=0.9,hard,1.6655083,1.6655083,1.6148756,0.0,0.0
favorita,m5,1885,D1 discounted selector g=0.9,hard,1.6067309,1.6042769,1.5632385,-0.15296876,-5.9798694
favorita,m5,1913,D1 discounted selector g=0.9,hard,1.6476735,1.6524235,1.6060568,0.28745738,10.2444515
favorita,m5,1857,D3 expw eta=2.0 norm=raw,convex,1.6595494,1.6655083,1.6129396,0.35778356,11.335486
favorita,m5,1885,D3 expw eta=2.0 norm=raw,convex,1.5994867,1.6042769,1.5602318,0.29858854,10.875643
favorita,m5,1913,D3 expw eta=2.0 norm=raw,convex,1.6398079,1.6524235,1.603894,0.76345813,25.995651
favorita,m5,1857,D3 expw eta=8.0 norm=raw,convex,1.6595494,1.6655083,1.6129396,0.35778356,11.335486
favorita,m5,1885,D3 expw eta=8.0 norm=raw,convex,1.5997797,1.6042769,1.5602318,0.28032383,10.210379
favorita,m5,1913,D3 expw eta=8.0 norm=raw,convex,1.6406277,1.6524235,1.603894,0.713846,24.306366
favorita,m5,1857,D3 expw eta=2.0 norm=per_series_scale,convex,1.6595494,1.6655083,1.6129396,0.35778356,11.335486
favorita,m5,1885,D3 expw eta=2.0 norm=per_series_scale,convex,1.5970657,1.6042769,1.5602318,0.44949898,16.372332
favorita,m5,1913,D3 expw eta=2.0 norm=per_series_scale,convex,1.6399742,1.6524235,1.603894,0.7533943,25.65298
favorita,m5,1857,D3 expw eta=8.0 norm=per_series_scale,convex,1.6595494,1.6655083,1.6129396,0.35778356,11.335486
favorita,m5,1885,D3 expw eta=8.0 norm=per_series_scale,convex,1.5961274,1.6042769,1.5602318,0.5079862,18.50264
favorita,m5,1913,D3 expw eta=8.0 norm=per_series_scale,convex,1.6390529,1.6524235,1.603894,0.8091529,27.551554
favorita,m5,1857,D3 expw eta=2.0 norm=per_origin_scale,convex,1.6595494,1.6655083,1.6129396,0.35778356,11.335486
favorita,m5,1885,D3 expw eta=2.0 norm=per_origin_scale,convex,1.5996324,1.6042769,1.5602318,0.2895082,10.544906
favorita,m5,1913,D3 expw eta=2.0 norm=per_origin_scale,convex,1.6398592,1.6524235,1.603894,0.760356,25.890026
favorita,m5,1857,D3 expw eta=8.0 norm=per_origin_scale,convex,1.6595494,1.6655083,1.6129396,0.35778356,11.335486
favorita,m5,1885,D3 expw eta=8.0 norm=per_origin_scale,convex,1.5994749,1.6042769,1.5602318,0.29932418,10.902438
favorita,m5,1913,D3 expw eta=8.0 norm=per_origin_scale,convex,1.6401886,1.6524235,1.603894,0.74042314,25.211315
favorita,m5,1857,ORACLE hard origin,hard,1.6148756,1.6655083,1.6148756,3.0400758,100.0
favorita,m5,1885,ORACLE hard origin,hard,1.5632385,1.6042769,1.5632385,2.5580618,100.0
favorita,m5,1913,ORACLE hard origin,hard,1.6060568,1.6524235,1.6060568,2.8059812,100.0
favorita,m5,1857,ORACLE convex origin,convex,1.6129396,1.6655083,1.6129396,3.1563141,100.0
favorita,m5,1885,ORACLE convex origin,convex,1.5602318,1.6042769,1.5602318,2.7454793,100.0
favorita,m5,1913,ORACLE convex origin,convex,1.603894,1.6524235,1.603894,2.9368684,100.0
