dataset,always_point,always_hurdle,heldout_static_best,series_oracle,origin_oracle,global
favorita,2.4848850708187196,2.4096880881342666,2.4096880881342666,2.3623747393631325,2.332995889039272,2.4096880881342666
m5,1.649321838251021,1.640736165718819,1.640736165718819,1.612911584255455,1.5947235672863316,1.640736165718819
MACRO,2.056261761843417,2.0152347366915615,2.0152347366915615,1.9779186443885417,1.9542804152836863,2.025212126926543
