train,test,policy,rel_improve,ci_low,ci_high,excludes_zero,capture,capture_lo,capture_hi,vs_5050_pp
m5,favorita,D3 exp-weighted eta=8,0.35894995503785176,0.2012043082960029,0.5159271727473824,True,11.23101855460506,6.545025928885755,15.684038059531632,0.8283148
favorita,m5,D3 exp-weighted eta=8,0.4507940306714784,0.34949667139171203,0.5553240903887797,True,16.052369503172965,12.846716606522117,19.263638139028693,-0.109825626
