dataset,series,same_winner_all_origins_pct,pairwise_agreement_pct,gain_lag1_spearman,mean_switches,zero_switch_pct
favorita,5405,25.86493987049029,45.827937095282145,0.3715105355264666,1.083441258094357,25.86493987049029
m5,5693,18.074828737045497,39.22360793957491,0.13471382299839166,1.2155278412085018,18.074828737045497
