dataset,band_pp,frac_within_band_of_tau
favorita,0.5,8.522972556275054
favorita,1.0,17.002775208140612
favorita,2.0,33.7095282146161
favorita,abs(G)<=1,9.016342892383596
m5,0.5,11.610750043913578
m5,1.0,23.022425200538674
m5,2.0,44.75086363370221
m5,abs(G)<=1,12.494876749224193
