series_id,rmse_point,mae_point,rmse_hurdle,mae_hurdle,rmse_fifty,mae_fifty,rmse_global_alpha,mae_global_alpha,rmse_gate_v1,mae_gate_v1,rmse_gate_v2,mae_gate_v2,rmse_oracle_hard,mae_oracle_hard,rmse_oracle_convex,mae_oracle_convex
FOODS_1_001_CA_2_evaluation,1.9265094103799907,1.2026167930591674,1.8968692814804318,1.0865960206304277,1.9052323610909125,1.1339900550388156,1.905232362450849,1.1339900546840258,1.9025957801707614,1.1242704079264687,1.9031414397904312,1.1307042908100855,1.8894695738923573,1.1218063888095675,1.889439855956018,1.1180070278552676
FOODS_1_001_CA_3_evaluation,2.3046050214382006,1.524845215203684,2.3219992093295123,1.5105437345447994,2.307207160101475,1.5121308869371812,2.3072071564858763,1.5121308836442906,2.305752144671117,1.5122484340376796,2.3068331819315038,1.512329581770159,2.280790356991523,1.5053135976417078,2.280790356991523,1.5053135976417078
FOODS_1_001_CA_4_evaluation,0.7059686033376328,0.5706143368567739,0.6869710517634764,0.46066650686164695,0.685268465636512,0.5156404230566252,0.6852684643857396,0.5156404218592104,0.6824582947342653,0.4899966874647708,0.6852151671299556,0.5023891187849499,0.6620511151043847,0.47300966172700837,0.6619809359347412,0.4756101450413489
FOODS_1_001_TX_1_evaluation,0.9505994333276081,0.7360883325870548,0.9491383069246571,0.6776219654296126,0.9372542545253606,0.7043083625002986,0.9372542514795824,0.7043083590854492,0.9297069340072461,0.6862719219532751,0.9457878668775488,0.7146765095226112,0.8811245895297986,0.6477541841034379,0.8805521610913073,0.6480261694817586
FOODS_1_001_TX_2_evaluation,0.9479344348378124,0.740727166334788,0.8663340160154562,0.6425342708826065,0.8975433715032247,0.6906005406663531,0.8975433724516789,0.69060054314988,0.8850747054931788,0.6741644445629347,0.8938248120026644,0.6856258050316856,0.8663340160154562,0.6425342708826065,0.8663340160154562,0.6425342708826065
FOODS_1_001_WI_2_evaluation,0.9432059616815714,0.6870356468217713,0.9696289088748881,0.5925346756620067,0.9476569774102628,0.6397851623949551,0.9476569775080281,0.639785161241889,0.953723060978946,0.6237246532525335,0.9498592962429613,0.6345487689333302,0.9349560564637563,0.6002575343563443,0.9327695470482223,0.6269931318959621
FOODS_1_001_WI_3_evaluation,0.6780552885622873,0.5410023857617662,0.6176615391639545,0.4134389776736498,0.636658693730066,0.47642679796332404,0.6366586952223504,0.4764267989389953,0.6227895080845482,0.4469426788744472,0.6260906561434342,0.4530793668790942,0.6176615391639545,0.4134389776736498,0.6135107510508491,0.4415239829714538
FOODS_1_002_CA_3_evaluation,0.7656197075048827,0.6562837718852929,0.784242895941007,0.6302430525067306,0.763007611842601,0.6432634123734066,0.7630076128288943,0.6432634121960118,0.7663221042524629,0.6366105368804365,0.7696257696099449,0.6365623467025303,0.731598131386261,0.6316323186315241,0.731598131386261,0.6316323186315241
FOODS_1_002_CA_4_evaluation,0.6457074956251266,0.5544495651764529,0.5733024440965397,0.41062072336318944,0.5992296969978588,0.4825351470637889,0.5992296957890302,0.4825351442698212,0.5897060761277204,0.46222992880003794,0.5875821659654255,0.4556085611915305,0.5711631614504084,0.43317401551064993,0.5698112960594587,0.4245279758763803
FOODS_1_002_TX_1_evaluation,0.7429722280136752,0.4255765262281611,0.6966158253055198,0.27695912317860694,0.7140827046873255,0.35126782386075883,0.7140827055242168,0.351267824703384,0.7041356744076032,0.3177786586540086,0.7050665932180169,0.32034217282420113,0.6966158253055198,0.27695912317860694,0.6965560294593538,0.2803602051180694
