dataset,fold,alpha,lambda,lambda_raw,status,n_calibration_origins,n_eval_origins,E_alpha,E_raw,E_safe,safe_vs_alpha,raw_vs_alpha,safe_vs_raw,mean_g_raw,mean_g_safe
m5,1,0.0,0.0,,COLD_START,0,3545,1.043070661254054,1.0352512832098966,1.043070661254054,0.0,0.007496498880292845,-0.007553120842229334,0.15287602162787242,0.0
m5,2,0.0,0.8444699362929012,0.8444699362929012,CALIBRATED,3545,3578,1.095980998453958,1.0885825482846974,1.0884295094038325,0.006890164209760803,0.006750527773471576,0.00014058546235741734,0.14050071121595703,0.11864862664964655
m5,3,0.0,0.8576917499923126,0.8576917499923126,CALIBRATED,7123,3598,1.1311472195936414,1.1222370417676983,1.1220289657584064,0.00806106727514275,0.00787711596828571,0.00018541181724335656,0.13701505189198276,0.1175166796325222
m5,4,0.0,0.861595971401663,0.861595971401663,CALIBRATED,10721,3600,1.0596797272438911,1.0500647668854013,1.0500272161290656,0.009108894760052336,0.009073458811463058,3.576041928070108e-05,0.14581263772313807,0.12563158124170593
favorita,1,0.15000000000000002,0.0,,COLD_START,0,3600,1.8778231583060314,1.7997138642317538,1.8778231583060314,0.0,0.04159566023498151,-0.043400951466037736,0.23526431034714937,0.14999999999999997
favorita,2,0.1,0.9298414332693618,0.9298414332693618,CALIBRATED,3600,3600,1.2261981444227306,1.2712739172914747,1.2650833642838102,-0.031712019821548504,-0.036760594585604156,0.0048695666004489515,0.23851990830322292,0.22880155007300937
favorita,3,0.1,0.6203181973846502,0.6203181973846502,CALIBRATED,7200,3600,5.183124287207205,5.143127339567867,5.140642485514654,0.008196176541126558,0.0077167641412838614,0.0004831406825368923,0.24174658618071818,0.18792798682505107
favorita,4,0.1,0.6719949379756952,0.6719949379756952,CALIBRATED,10800,3600,2.2582626092716667,2.188962684072878,2.193314328578181,0.028760286968765182,0.03068727477232564,-0.00198799391920481,0.21995542385025768,0.18060943761010215
freshretailnet,1,0.30000000000000004,0.0,,COLD_START,0,20705,0.6375197952681471,0.6257637447285239,0.6375197952681471,0.0,0.018440290994695203,-0.01878672364555618,0.35622028002965667,0.30000000000000004
freshretailnet,2,0.2,0.7146812125803057,0.7146812125803057,CALIBRATED,20705,22340,0.4193260937496296,0.44793451149516017,0.43533300438052286,-0.038172941940624004,-0.06822474959693789,0.028132476492098706,0.3295260183002532,0.29256981181952385
freshretailnet,3,0.1,0.31214796870708234,0.31214796870708234,CALIBRATED,43045,22554,0.18383569821301204,0.17400568930625615,0.1788382880908649,0.027184111523087265,0.053471708717671235,-0.027772648146597183,0.3558214756270884,0.17985415396864401
uci,1,0.75,0.0,,COLD_START,0,6140,186.23871086385748,173.40069426647952,186.23871086385748,0.0,0.06893312640443848,-0.07403670816708895,0.4634643601472381,0.75
uci,2,0.65,0.7489715924280068,0.7489715924280068,CALIBRATED,6140,6390,453.9582552607378,45.26193556127467,70.78603677476691,0.844069281801892,0.9002949389360091,-0.5639197903708348,0.5927495386806322,0.6071210308183951
uci,3,0.9500000000000001,0.9842866177793554,0.9842866177793554,CALIBRATED,12530,6474,60.632489684383344,50.623578825047616,50.627499186824885,0.16501038551506766,0.16507504328844422,-7.744141896441323e-05,0.5922637308822516,0.5978849776130861
