dataset,fold,n_origins,alpha,E_alpha,E_p0l1,E_seq,E_convex,seq_vs_alpha,seq_vs_p0l1,p0l1_vs_alpha,recovery_p0l1,recovery_seq,mean_g,std_g,min_g,max_g,corr_g_gstar
m5,1,3545,0.0,1.043070661254054,1.0352512832098966,1.0365977761539105,0.9605884420879626,0.0062056055649779935,-0.00130064358851985,0.007496498880292845,0.09480077189014212,0.0784761269226914,0.12246489401639842,0.2011045207043362,3.176906372840384e-20,0.7048423886299133,0.36657362655793474
m5,2,3578,0.0,1.095980998453958,1.0885825482846974,1.0929160267894067,1.015976434215407,0.0027965554775811,-0.003980845101308748,0.006750527773471576,0.09247535112122438,0.038309960109430025,0.1129386890208045,0.19228114621233272,5.506985220330542e-21,0.6480372548103333,0.3269394374245624
m5,3,3598,0.0,1.1311472195936414,1.1222370417676983,1.1229693527020894,1.0449098873814782,0.007229710465530589,-0.0006525456807570479,0.00787711596828571,0.10332158471718506,0.09482977594242578,0.11536193579388135,0.17685327486169444,1.1082183678580602e-28,0.5681576728820801,0.37597437524763255
m5,4,3600,0.0,1.0596797272438911,1.0500647668854013,1.0529355826373226,0.9723846703086926,0.006364323515095782,-0.0027339416028940816,0.009073458811463058,0.1101432394462758,0.07725688994710134,0.13862228776409288,0.19958689001204477,1.0862129834834423e-33,0.5998896956443787,0.3630751085912512
favorita,1,3600,0.15000000000000002,1.8778231583060314,1.7997138642317538,1.8103994706626216,1.713924740166219,0.03590523811849893,-0.005937391850581303,0.04159566023498151,0.4765713724439182,0.41137485284265807,0.1888956310761278,0.1867962752890335,8.863896524781354e-25,1.0,0.1843110025005806
favorita,2,3600,0.1,1.2261981444227306,1.2712739172914747,1.277041879168118,1.1289185256608152,-0.04146453407766622,-0.004537151119195689,-0.036760594585604156,-0.4633629679312754,-0.5226555715624631,0.26214696294229245,0.18806261783655753,1.035699915519217e-05,0.99928218126297,0.446904346570504
favorita,3,3600,0.1,5.183124287207205,5.143127339567867,5.134186960846021,4.9990589532113985,0.009441665615074899,0.0017383156456314797,0.0077167641412838614,0.21729755826944183,0.26586932638982846,0.21188318645251816,0.1511576059682155,7.248388556035934e-07,0.9999710321426392,0.35878088062699726
favorita,4,3600,0.1,2.2582626092716667,2.188962684072878,2.1743815823182904,2.0760050918739905,0.0371440534014906,0.006661192472891943,0.03068727477232564,0.3802308194925094,0.4602335648540212,0.26569202700274697,0.197404802621993,6.97331950664046e-18,0.9944686889648438,0.4458750581082287
freshretailnet,1,20705,0.30000000000000004,0.6375197952681471,0.6257637447285239,0.6033696457433959,0.5106158377948951,0.05356719866304271,0.03578682717523572,0.018440290994695203,0.09263738321242666,0.26910232119395566,0.41426583700230374,0.2791010494264309,2.0262163161532953e-05,0.9998998641967773,0.3369409769134026
freshretailnet,2,22340,0.2,0.4193260937496296,0.44793451149516017,0.43274148530228845,0.3553413734643183,-0.031992742051175325,0.03391796301240315,-0.06822474959693789,-0.4471132735747554,-0.20966554972560508,0.4319839665111134,0.22455520689772215,3.607191314310837e-13,0.999176561832428,0.2952874074641449
freshretailnet,3,22554,0.1,0.18383569821301204,0.17400568930625615,0.17139958065591568,0.14805122796751832,0.06764800132935295,0.014977146211315129,0.053471708717671235,0.2747004172290009,0.34752834041639685,0.4626557535003831,0.21767963831087003,0.0013122125528752804,0.9846827387809753,0.5320027138728166
uci,1,6140,0.75,186.23871086385748,173.40069426647952,180.52669931512244,162.77375105370973,0.030670377400274087,-0.04109559698585629,0.06893312640443848,0.5471143654729799,0.24342728881490758,0.5244613018792452,0.2847182221636271,4.316707208440244e-17,1.0,0.33542233718611103
uci,2,6390,0.65,453.9582552607378,45.26193556127467,1661.011010816299,43.75307376342815,-2.6589509972943923,-35.697745914282805,0.9002949389360091,0.9963216900568176,-2.942558529245388,0.29517797816637664,0.18774184095127905,0.0,1.0,0.3809750030175306
uci,3,6474,0.9500000000000001,60.632489684383344,50.623578825047616,51.16682543018872,49.11366718321067,0.15611538143109802,-0.0107310983883328,0.16507504328844422,0.8689178827364319,0.8217562388196338,0.628273731745556,0.32742620264333183,0.0,1.0,0.24388733947062638
